Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
6PK070dD3j8I6VRmKVvSrP,2wJnLGZ8rj16tzpkMJhDSK,Bachata,178728,2023-03-08T20:05:12Z,False,https://open.spotify.com/track/6PK070dD3j8I6VRmKVvSrP
2HRuseHyAvgGydXUAudtJQ,3BnDIldLZeHaj3VG3wsXZk,Un Beso,203500,2023-12-02T23:06:20Z,False,https://open.spotify.com/track/2HRuseHyAvgGydXUAudtJQ
66E9D8ihbcTs0qr98oVobO,67LRI6OGZ15nlOn7HOqpyM,De Rodillas Te Pido,233320,2022-02-20T06:51:27Z,False,https://open.spotify.com/track/66E9D8ihbcTs0qr98oVobO
0nJ4P1jWatMYQJ1h52TgWQ,3vexsdImfxAyhLk5n95tft,Tu El Y Yo,268693,2022-11-29T13:41:09Z,False,https://open.spotify.com/track/0nJ4P1jWatMYQJ1h52TgWQ
7aM5ucPK9Jl4tOrkhAMmC3,46pUMvQ46yo2p2fZ5feBkz,Rulay,188500,2024-01-19T22:23:39Z,False,https://open.spotify.com/track/7aM5ucPK9Jl4tOrkhAMmC3
4qo9CljCI7Nn9VmRxC0246,2KAFZKOzlkk0wOI1XdoO0q,Lágrimas,225746,2022-02-20T06:50:35Z,False,https://open.spotify.com/track/4qo9CljCI7Nn9VmRxC0246
2oIK0laem6f1hj7mjdg43g,3dCEXNx36W29EYCMUAx5p5,Voy Malacostumbrado,273453,2022-02-20T08:15:11Z,False,https://open.spotify.com/track/2oIK0laem6f1hj7mjdg43g
7k7UuyhKXqmFRvR4hkpvsS,3cC1JpcuFUXQPxLrMhw12P,Mirame,218253,2022-07-11T15:35:16Z,False,https://open.spotify.com/track/7k7UuyhKXqmFRvR4hkpvsS
3Z3ZUu41QYobvrKr494Vjs,6JXg4yfjaH0JIZBofuVS2u,El verdadero amor perdona - dueto con Prince Royce,238143,2022-10-04T18:34:09Z,False,https://open.spotify.com/track/3Z3ZUu41QYobvrKr494Vjs
3UGmjwwOSioDqkeszNycGC,7odOEHZzb4ROtmS6wBkYtp,Un Poeta Enamorado,254880,2022-02-20T08:15:05Z,False,https://open.spotify.com/track/3UGmjwwOSioDqkeszNycGC
0FoYccQVBOwLSPAc2KHr6C,6bWWf1cq18rE6JF36i7lW6,Ella,188800,2024-01-26T12:17:39Z,False,https://open.spotify.com/track/0FoYccQVBOwLSPAc2KHr6C
7pAUPuOCFmVELCwYs9eSZZ,3DY0cXNsokz4CCESixvI8w,Tu Primera Vez,241480,2022-02-20T06:52:05Z,False,https://open.spotify.com/track/7pAUPuOCFmVELCwYs9eSZZ
5dxTcyXweSV3tAQkRDldwd,4i8xXBUtBO6p0NDDlUc7Ju,Tu Sabes Bien,238093,2022-02-20T06:52:09Z,False,https://open.spotify.com/track/5dxTcyXweSV3tAQkRDldwd
4jCiC3KDKNk1x8y16tupUb,2eIfWmj7khob6SiDVlr5Uo,Bailando Bachata,188055,2022-07-11T15:33:22Z,False,https://open.spotify.com/track/4jCiC3KDKNk1x8y16tupUb
7jkIwEJXP3nmTO3fsCJmnS,5s8Cg9RloNeIPuzHESUiYY,Perdóname la Vida,267826,2022-02-20T06:51:41Z,False,https://open.spotify.com/track/7jkIwEJXP3nmTO3fsCJmnS
4Z5KC5Oai5rYP0tXWKRUZr,02aMRNTDHBY7RnmHOpj9XA,Hoy Te VI Pasar,254346,2022-02-20T06:51:49Z,False,https://open.spotify.com/track/4Z5KC5Oai5rYP0tXWKRUZr
1PejLURDM7m2faUjxW51pR,3ArIgsTUX8f56lzwHaZCax,Invéntame,163208,2024-01-27T16:28:50Z,False,https://open.spotify.com/track/1PejLURDM7m2faUjxW51pR
1OgeDuLEbg5e4D3ZMtsHmK,0jtFUO3fffRXGa7OsWw9iN,Con Qué Ojos,256693,2022-02-20T06:51:36Z,False,https://open.spotify.com/track/1OgeDuLEbg5e4D3ZMtsHmK
