Track_ID,Artist_ID
6cJLfIqwh0tCKRjYM3WpZ5,3MHaV05u0io8fQbZ2XPtlC
0jr6tT2vc4cIFPHb6wufG3,5lwmRuXgjX8xIwlnauTZIP
0jr6tT2vc4cIFPHb6wufG3,23zg3TcAtWQy7J6upgbUnj
5A9KGW3lv9EZ3myjHGjgZ2,5rvaaWutd0gsbc2iMNo9k5
7ouoNxUzbi6bLGOZdjp8CH,5lwmRuXgjX8xIwlnauTZIP
3fPMRb2gcFTZcYmR0bXnDc,3MHaV05u0io8fQbZ2XPtlC
18MbEK3bfXlTBQZSr74afQ,3MHaV05u0io8fQbZ2XPtlC
7K2cEcsCDZoNpjNaG5DZRd,7DstIz9YAYYupeK7r5tbbs
6ExIo2QuQcqkJKYRIfNtNE,1qto4hHid1P71emI6Fd8xi
5nHpjvTs9EQoK755qThyHt,4TCAAIMmeZXCTVlHUsicOn
5nHpjvTs9EQoK755qThyHt,2K2jez7AWc6Eb7w74DSWVg
27ze5t5tIDPlVits0KRbxT,1qto4hHid1P71emI6Fd8xi
0NAT5pDG4XcYe9sUD3fR7k,3MHaV05u0io8fQbZ2XPtlC
2Bhmj4XK33InfhqKPxcJ1v,1qto4hHid1P71emI6Fd8xi
0xTQia3KYNarTcKNx4kxex,7DstIz9YAYYupeK7r5tbbs
0xTQia3KYNarTcKNx4kxex,7pQKmVxIJROJ9FpYq3cLie
0p0fvQgOyFY4N6TAVGbn5m,5VcamBo0Goh74iFQDqj6Q4
0HDHY6RSHHG2ZTE0cMT4GJ,1qto4hHid1P71emI6Fd8xi
42jedyDXAZydzL3OrslfUp,4TCAAIMmeZXCTVlHUsicOn
3QeU2rcc5buv0B9VA0gRKH,72R3RMGmSmzG57R7OUaDaN
5I76YtdZkFQReVgKppRd78,1qto4hHid1P71emI6Fd8xi
2s2WaBxoKVmPD5d5V5GmjB,78bzUCJmEsEgENTy7rjMCV
6r46lnXFbE9fr2d3KNaGbe,5lwmRuXgjX8xIwlnauTZIP
2QnmlK1ezVLg83Yc9OJHkk,1qto4hHid1P71emI6Fd8xi
4AuBmjPXmbBc0ZxFuaqcVQ,1qto4hHid1P71emI6Fd8xi
69vILel8ZUtVDZuCww5I64,1YzcEsRf1wwGg3EeMFz9TP
2swZ0X1njeU32SNJeBKIfW,1qto4hHid1P71emI6Fd8xi
3sTVMGhTdyyLM67WyYhYMB,5lwmRuXgjX8xIwlnauTZIP
6DbnN0ZUrtl3VyN6878BUS,7DstIz9YAYYupeK7r5tbbs
6CKlQHQIxhWtq7MnEJ6QCz,5lwmRuXgjX8xIwlnauTZIP
1sQrCwV8vvtYLqa0KQlwE9,5lwmRuXgjX8xIwlnauTZIP
4ReMpzreT5dn9wMssEVTrI,4cBjJBPtvetlysjjojDLUA
6y7zN0mg5yfkZXTz1kD7NL,6lt3lJcAlHKrDfDZuKscZd
4sZORoSxxnbSB4m9Ol7a7i,1YzcEsRf1wwGg3EeMFz9TP
4TLzeL9PFoBoUNQv4sc7me,7i0Z1tzWVamskO8eLnZ3Kx
4TLzeL9PFoBoUNQv4sc7me,1qto4hHid1P71emI6Fd8xi
5ww2BF9slyYgNOk37BlC4u,0tmwSHipWxN12fsoLcFU3B
4QhzVWRzBSOPKZNrIsgCAn,7DstIz9YAYYupeK7r5tbbs
4QhzVWRzBSOPKZNrIsgCAn,5zRyKXpHPRHXXdIEwCHWkW
6hj4B44W9LzsFJFNHpmFTw,47bVt95bvBMpmJFWoyhH0C
7nmNs5rnnuMRNmUB9ZucXk,198g5ZZS90C4PnJ7E1dVjA
1uuVXXoCSfVQsCJRUIWngg,1YzcEsRf1wwGg3EeMFz9TP
6hV6EpITzeBa1mzq5tvqpj,5lwmRuXgjX8xIwlnauTZIP
0Ihu6hcj4hrWVz22W3G10P,1LKPL2O3vA3ozNsmshDg3o
0weK7Rpf3QwOPqTBJM4Hau,7EXwl78TqHmZ78cV3sc37C
2jEgfmOjkzmdI8FFqNHrrf,06TVTkMAOR935MhkjX0i2A
6VnVekvB9Ih19tL39IXrlv,7DstIz9YAYYupeK7r5tbbs
6BdAwMv1YorLfkBWlE493X,5lwmRuXgjX8xIwlnauTZIP
3WlC4Pg9tekMJ2qtDNcbPP,6uw9FAkFpaimAueuHRKONu
252UPuQsncbBFhTrx4Ytcc,5lwmRuXgjX8xIwlnauTZIP
197PCRC6OSRsJvYCurlsdz,7esCoLcCoCK7FPa9casAH4
197PCRC6OSRsJvYCurlsdz,5lwmRuXgjX8xIwlnauTZIP
1PV9Z6YJfh8AUIu22Zwt7W,447qdj25DgrnEypA4sjDr1
3DKWF8is9hzp84aSxnhlag,5lwmRuXgjX8xIwlnauTZIP
3DKWF8is9hzp84aSxnhlag,0MsXN56oNCyqorqEPViWgQ
4s8r4lbbUXF3xFdEXWgTrs,1qto4hHid1P71emI6Fd8xi
45GOV2654yaxoT6fTQEFyY,3rs3EOlJ8jyPpdGiQ9Mhub
5a7AwolGAcBjZgNQDhRrLm,4RnIr0AAau1SBJMbjJ9poC
2zHgz7X52WqdckhjMJj6mt,5lwmRuXgjX8xIwlnauTZIP
2zHgz7X52WqdckhjMJj6mt,2ElpWA67jmhM6LrDav4Jcy
6LQ3lcP8W7oCrA6fUq34Hy,66U02qGDesTqZImnLSiYeE
1IdSPagRNE4i6cr6I8QBYD,1qto4hHid1P71emI6Fd8xi
1IdSPagRNE4i6cr6I8QBYD,06TVTkMAOR935MhkjX0i2A
4Aj6MdK3oRA3thGcp5UzKJ,7DstIz9YAYYupeK7r5tbbs
6Yeiqec7xM5qssOH1FWV1g,5VcamBo0Goh74iFQDqj6Q4
18tS6OYnEJfHWokX62T322,5VcamBo0Goh74iFQDqj6Q4
0DTfdFHQmmPPdDtGtp2k78,7DstIz9YAYYupeK7r5tbbs
0DTfdFHQmmPPdDtGtp2k78,6UTnO6XhjHYM2Oe9V0DEH1
2ToTCM42XytROqwKptTeqN,5VcamBo0Goh74iFQDqj6Q4
0wDEs6WvqDHq4XJZC0dHhO,3rs3EOlJ8jyPpdGiQ9Mhub
2CKHpIltFZM1xr7DwaJAPD,78bzUCJmEsEgENTy7rjMCV
2CKHpIltFZM1xr7DwaJAPD,3WAmOatOFvUarhAVy85lkc
30oZjF87SHCd0CE0ttGm5U,3MHaV05u0io8fQbZ2XPtlC
67BhTON8ouVhJrpgxphcux,3j625C0VG1EpMcf1K4Y2Yw
3ORQsL0g4APGsXoqD5tkpm,1qto4hHid1P71emI6Fd8xi
7lyJL9GD1r0WiFkzYei8qI,78bzUCJmEsEgENTy7rjMCV
7lyJL9GD1r0WiFkzYei8qI,3kZPhclRKbXxgG13z7svTw
4XwpHPwUt9yFAUpzGBtWKy,4TCAAIMmeZXCTVlHUsicOn
3GUT8tmtbwj1C5DKBWVksd,7DstIz9YAYYupeK7r5tbbs
3GUT8tmtbwj1C5DKBWVksd,7pQKmVxIJROJ9FpYq3cLie
5hhMqFyklLrysNN3KGnQub,1LKPL2O3vA3ozNsmshDg3o
7fBuy1fdHEwG3mRdlHNM41,5lwmRuXgjX8xIwlnauTZIP
3Wm1oGYdTvTdjc9AzbcgfV,7DstIz9YAYYupeK7r5tbbs
2colCrVYpDalL5Oc0NkfaK,4TCAAIMmeZXCTVlHUsicOn
3B1ctsHxfAXq1f4h2m5ueQ,2u68L72IRGq7v1pP98Jm1K
0mRasKLNRK934lWvxf5dss,4tLUnrSgMM7tT0zVs3wX61
0FDyv2OKMiiIPfnSpj8ODb,32eFmMEzUIGpEvhEK4pxIf
0FDyv2OKMiiIPfnSpj8ODb,6UTnO6XhjHYM2Oe9V0DEH1
5H8jhzVCeV3ymTtEvl94LT,3rs3EOlJ8jyPpdGiQ9Mhub
